Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
¿En dónde será?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿En qué parte es?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿Dónde es este evento?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿Cuándo será?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿Cuándo será Vive Azure?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
Cuándo es?\n	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
cuando es	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿Cuándo es?	Vive Azure se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, 3,4 y 5 de Septiembre en Microsoft Monterrey y 10,11, y 12 de Septiembre en Ciudad de México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	3
¿En qué hora será el evento?	Vive Azure empezará a las 9 am y terminará a las 2 pm todas las fechas, ¿Ya sabes cuando será?	QnA Compubot.xlsx		[]	false	[]	5
¿Que horario tiene?\n	Vive Azure empezará a las 9 am y terminará a las 2 pm todas las fechas, ¿Ya sabes cuando será?	QnA Compubot.xlsx		[]	false	[]	5
¿A qué hora es?	Vive Azure empezará a las 9 am y terminará a las 2 pm todas las fechas, ¿Ya sabes cuando será?	QnA Compubot.xlsx		[]	false	[]	5
En qué horario	Vive Azure empezará a las 9 am y terminará a las 2 pm todas las fechas, ¿Ya sabes cuando será?	QnA Compubot.xlsx		[]	false	[]	5
¿En qué horario?	Vive Azure empezará a las 9 am y terminará a las 2 pm todas las fechas, ¿Ya sabes cuando será?	QnA Compubot.xlsx		[]	false	[]	5
Hola	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
¿Cómo te llamas?	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
¿Cuál es tu nombre?	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
Buenos días\n	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
Buenas tardes	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
Buenas noches	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
Hi	¡Hola! Soy CompuBot y estoy aquí para informarte sobre Vive Azure, ¿Ya sabes de que trata?	QnA Compubot.xlsx		[]	false	[]	6
¿Cómo estás?	¡Muy bien! Espero que tu también. Estoy muy emocionado de que te unas a ¡Vive Azure!	QnA Compubot.xlsx		[]	false	[]	7
¿Cómo te va?	¡Muy bien! Espero que tu también. Estoy muy emocionado de que te unas a ¡Vive Azure!	QnA Compubot.xlsx		[]	false	[]	7
Que tal	¡Muy bien! Espero que tu también. Estoy muy emocionado de que te unas a ¡Vive Azure!	QnA Compubot.xlsx		[]	false	[]	7
¿Habrá en Guadalajara?	Vive Azure Guadalajara se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	8
¿Cuándo será en Guadalajara?	Vive Azure Guadalajara se realizará el 20,21 y 23 de Agosto en CompuSoluciones Guadalajara, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	8
¿Habrá en Monterrey?	Vive Azure Monterrey se realizará el 3,4 y 5 de Septiembre en Microsoft Monterrey, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	9
¿Cuándo será en Monterrey?	Vive Azure Monterrey se realizará el 3,4 y 5 de Septiembre en Microsoft Monterrey, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	9
Monterrey	Vive Azure Monterrey se realizará el 3,4 y 5 de Septiembre en Microsoft Monterrey, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	9
¿Habrá en DF?	Si, Vive Azure Ciudad de México se realizará el 3,4 y 5 de Septiembre en Microsoft México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	10
¿Habrá en Ciudad de México?	Si, Vive Azure Ciudad de México se realizará el 3,4 y 5 de Septiembre en Microsoft México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	10
¿Cuándo será en Ciudad de México	Si, Vive Azure Ciudad de México se realizará el 3,4 y 5 de Septiembre en Microsoft México, ¿Te inscribes?	QnA Compubot.xlsx		[]	false	[]	10
¿Puedo inscribirme al evento?	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
¿Puedes incribirme?	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
Me late	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
Le entro	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
Inscríbeme	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
¿Cómo le entro?	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
¿Cómo me inscribo?	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
como me inscribo\n	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
como le entro\n	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
Me interesa	Llena esta forma , te inscribimos y nos contactamos contigo… https://forms.office.com/Pages/ResponsePage.aspx?id=IX20aLkPlkKq2n9LZz7SnYooQHaElGVGnvzS-LQBHbJUREVBQ1pDU1czNEZYRUc1RFZETExYM1NGUC4u	QnA Compubot.xlsx		[]	false	[]	11
¿Qué necesito para ir al evento?	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
requisitos\n	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
cuáles son los requisitos	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
¿qué se necesita?	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
qué requisitos se tienen?	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
¿Qué necesito?	¡Mira, estos son los requisitos, únete! ...  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf"	QnA Compubot.xlsx		[]	false	[]	12
¿En dónde está CompuSoluciones?	CompuSoluciones Guadalajara esta en … https://www.google.com/maps/place/CompuSoluciones+y+Asociados/@20.6569765,-103.3890464,17z/data=!3m1!4b1!4m5!3m4!1s0x8428ae6cbb57f7c3:0xbc273fde65e41350!8m2!3d20.6569765!4d-103.3868577"	QnA Compubot.xlsx		[]	false	[]	13
Dónde es CompuSoluciones?\n	CompuSoluciones Guadalajara esta en … https://www.google.com/maps/place/CompuSoluciones+y+Asociados/@20.6569765,-103.3890464,17z/data=!3m1!4b1!4m5!3m4!1s0x8428ae6cbb57f7c3:0xbc273fde65e41350!8m2!3d20.6569765!4d-103.3868577"	QnA Compubot.xlsx		[]	false	[]	13
Dónde está CompuSoluciones	CompuSoluciones Guadalajara esta en … https://www.google.com/maps/place/CompuSoluciones+y+Asociados/@20.6569765,-103.3890464,17z/data=!3m1!4b1!4m5!3m4!1s0x8428ae6cbb57f7c3:0xbc273fde65e41350!8m2!3d20.6569765!4d-103.3868577"	QnA Compubot.xlsx		[]	false	[]	13
¿En dónde está Microsoft?	Microsoft México está en … https://www.google.com/maps/place/Corporativo+Microsoft+México/@19.3665235,-99.2664309,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201196dca8199:0xffe7560012c3a23b!8m2!3d19.3665235!4d-99.2642422 . \n\nMicrosoft Monterrey se encuentra en... https://www.google.com/maps/place/Microsoft/@25.6594401,-100.3341575,14z/data=!4m8!1m2!2m1!1sMicrosoft+Monterrey!3m4!1s0x8662be44cf1d25f3:0x49ada76a0ea0e070!8m2!3d25.6407164!4d-100.318863t" . ¡Inscríbete!	QnA Compubot.xlsx		[]	false	[]	14
donde es el de méxico\n	Microsoft México está en … https://www.google.com/maps/place/Corporativo+Microsoft+México/@19.3665235,-99.2664309,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201196dca8199:0xffe7560012c3a23b!8m2!3d19.3665235!4d-99.2642422 . \n\nMicrosoft Monterrey se encuentra en... https://www.google.com/maps/place/Microsoft/@25.6594401,-100.3341575,14z/data=!4m8!1m2!2m1!1sMicrosoft+Monterrey!3m4!1s0x8662be44cf1d25f3:0x49ada76a0ea0e070!8m2!3d25.6407164!4d-100.318863t" . ¡Inscríbete!	QnA Compubot.xlsx		[]	false	[]	14
dónde está microsoft	Microsoft México está en … https://www.google.com/maps/place/Corporativo+Microsoft+México/@19.3665235,-99.2664309,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201196dca8199:0xffe7560012c3a23b!8m2!3d19.3665235!4d-99.2642422 . \n\nMicrosoft Monterrey se encuentra en... https://www.google.com/maps/place/Microsoft/@25.6594401,-100.3341575,14z/data=!4m8!1m2!2m1!1sMicrosoft+Monterrey!3m4!1s0x8662be44cf1d25f3:0x49ada76a0ea0e070!8m2!3d25.6407164!4d-100.318863t" . ¡Inscríbete!	QnA Compubot.xlsx		[]	false	[]	14
¿Dónde es microsoft?	Microsoft México está en … https://www.google.com/maps/place/Corporativo+Microsoft+México/@19.3665235,-99.2664309,17z/data=!3m1!4b1!4m5!3m4!1s0x85d201196dca8199:0xffe7560012c3a23b!8m2!3d19.3665235!4d-99.2642422 . \n\nMicrosoft Monterrey se encuentra en... https://www.google.com/maps/place/Microsoft/@25.6594401,-100.3341575,14z/data=!4m8!1m2!2m1!1sMicrosoft+Monterrey!3m4!1s0x8662be44cf1d25f3:0x49ada76a0ea0e070!8m2!3d25.6407164!4d-100.318863t" . ¡Inscríbete!	QnA Compubot.xlsx		[]	false	[]	14
¿Cuánto cuesta este evento?	Vive Azure es un evento gratuito, pero estos son los requisitos de inscripción …  https://kbase.blob.core.windows.net/compu/Vive%20Azure.pdf 	QnA Compubot.xlsx		[]	false	[]	15
¿Quién te creo?	Hola, mi creador es M&M, y estoy para ayudarte a formar parte de Vive Azure, ¿le entras?	QnA Compubot.xlsx		[]	false	[]	16
¿En dónde estás?	Hola, mi creador es M&M, me encuentro en un datacenter de Microsoft Azure, y estoy para ayudarte a formar parte de Vive Azure, ¿le entras?	QnA Compubot.xlsx		[]	false	[]	17
Si	Disculpa, no entendí muy bien el contexto, ¿puedes preguntarme de nuevo contextualizando tu pregunta? Ejemplo… ¿Qué necesito para ir al evento? O ¿Qué es Vive Azure? o ¿Qué necesito para inscribirme?. 	QnA Compubot.xlsx		[]	false	[]	18
No	Disculpa, no entendí muy bien el contexto, ¿puedes preguntarme de nuevo contextualizando tu pregunta? Ejemplo… ¿Qué necesito para ir al evento? O ¿Qué es Vive Azure? o ¿Qué necesito para inscribirme?. 	QnA Compubot.xlsx		[]	false	[]	18
Tal vez	Disculpa, no entendí muy bien el contexto, ¿puedes preguntarme de nuevo contextualizando tu pregunta? Ejemplo… ¿Qué necesito para ir al evento? O ¿Qué es Vive Azure? o ¿Qué necesito para inscribirme?. 	QnA Compubot.xlsx		[]	false	[]	18
¿Qué directiva sigue Azure?	El software de Microsoft admitido en las Azure Virtual Machines (infraestructura como servicio) sigue la fase del soporte estándar y extendido de la [directiva fija](https://support.microsoft.com/en-us/help/14085).Todos los demás servicios de Azure siguen la [directiva de ciclo de vida moderna](https://support.microsoft.com/en-us/help/30881).	https://support.microsoft.com/es-mx/help/18486/lifecycle-faq-azure		[]	false	[]	19
¿Cuál es la directiva de Azure Cloud Services?	SO invitado**\n\nMicrosoft Azure Cloud Services no será compatible con las versiones anteriores a las dos familias de SO invitado más recientes para la implementación de nuevos Servicios en la nube. Microsoft enviará una notificación 12 meses antes de retirar una familia de SO invitado para facilitar la transición a una familia de SO invitado compatible. Para obtener más información sobre las familias de SO invitado, consulta [Matriz de compatibilidad del SDK y versiones del SO invitado de Microsoft Azure](https://azure.microsoft.com/documentation/articles/cloud-services-guestos-update-matrix/).Azure SDK**\n\nLa directiva de Microsoft Azure SDK cubre las herramientas de creación de Microsoft Azure SDK, las API de REST, las bibliotecas de cliente, las utilidades de la línea de comandos, los emuladores de cálculo y almacenamiento, y Azure Tools para Microsoft Visual Studio.Microsoft Azure Cloud Services no admitirá versiones anteriores a las dos más recientes de SDK para la implementación de nuevos Servicios en la nube. Microsoft enviará una notificación 12 meses antes de retirar un SDK para facilitar la transición a una versión compatible.	https://support.microsoft.com/es-mx/help/18486/lifecycle-faq-azure		[]	false	[]	20
¿Dónde puedo obtener más información?	* [Directiva de retirada y compatibilidad del SO invitado de Azure](https://docs.microsoft.com/es-mx/azure/cloud-services/cloud-services-guestos-retirement-policy)\n * [Matriz de compatibilidad del SDK y versiones del SO invitado de Azure](https://azure.microsoft.com/es-mx/documentation/articles/cloud-services-guestos-update-matrix/)\n * [Servicios en la nube](http://azure.microsoft.com/es-mx/services/cloud-services)	https://support.microsoft.com/es-mx/help/18486/lifecycle-faq-azure		[]	false	[]	21
que servicios tiene azure	Azure tiene un catálogo infinito servicios. Azure es la evolución de la tecnología Microsoft y de terceros. ¡Podemos acoplarnos a cualquier necesidad o arquitectura. Te invito a que des un tour por nuestro catálogo de servicios! https://azure.microsoft.com/es-mx/services/	qna 2 compubot.xlsx		[]	false	[]	22
para que sirve azure	¡Azure sirve para todo!, bueno casi para todo jeje. La verdad Azure es una nube pública que nos permite crear soluciones de TI personalizables, escalables y seguras. Estas soluciones cumplen con regulaciones de seguridad a nivel mundial, además de ser de última innovación. Te invito a que revises esta información... https://azure.microsoft.com/es-mx/overview/what-is-azure/	qna 2 compubot.xlsx		[]	false	[]	23
quien es memo	Memo Meza es el Gerente de Azure en CompuSoluciones, experto en soluciones cloud y siempre listo para ayudarte!	qna 2 compubot.xlsx		[]	false	[]	24
como nos puede ayudar compusoluciones	CompuSoluciones somos un mayorista de valor, tenemos un gran partnership con Microsoft. Nos hemos vuelto expertos en necesidades en las que Tú y tus clientes necesitan para generar un gran valor. Visítanos… https://www.compusoluciones.com/	qna 2 compubot.xlsx		[]	false	[]	25
que opotunidades tiene azure	Azure tiene un modelo de negocio CSP, en el que tu cliente paga por segundo y recurso utilizado. Azure es la tecnología de más importante crecimiento en popularidad como en valor comercial a nivel mundial. ¡Únete a la fiesta!	qna 2 compubot.xlsx		[]	false	[]	26
cuantas regiones tiene azure	Azure tiene 54 regiones en todo el mundo, haciendo disponible sus servicios en mas de 140 países! Mira… https://azure.microsoft.com/es-mx/global-infrastructure/regions/	qna 2 compubot.xlsx		[]	false	[]	27
